id,Movie_Name,Plot
8844,Jumanji,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.::ahmetkozan"
11517,Money Train,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him."
9598,Babe,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.::Jon Reeves <jreeves@imdb.com>"
26441,The Big Green,"A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success."
9089,Home for the Holidays,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.::Cyndi Kessler <ckessler@ix.netcom.com>"
17182,Eye for an Eye,"Inspired by classic film noir, Carson Phillips, an ex-football star turned PI, has a soft spot for a lady in distress."
37975,L'uomo delle stelle,A photographer and the types of people he encounters.::ramya prasad
249882,Gospa,"The story of Aung San Suu Kyi as she becomes the core of Burma's democracy movement, and her relationship with her husband, writer Michael Aris.::IMDb Editors"
11472,Nine Months,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.::mystic80"
9804,Waterworld,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.::jgp3553@yahoo.com"
76,Before Sunrise,A French grad student named Celine meets an American boy named Jesse on the Budapest-Vienna train. They get off the train in Vienna and hang out for a while.::Anonymous
1909,Don Juan DeMarco,"A psychiatrist must cure a young patient that presents himself as Don Juan, the greatest lover in the world.::Francesco Potorti` <pot@cnuce.cnr.it>"
18395,Exit to Eden,"Elliot heads for the sexual fantasy island, Eden. He takes some photos of diamond smugglers. They and undercover cops want the photos and follow him to Eden.::Scott Filtenborg"
10525,Forget Paris,"Mickey, an NBA referee, meets Ellen, an American airline official, in Paris. It develops into a relationship of ups and downs.::Scott Filtenborg"
15789,A Goofy Movie,"When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.::Kenneth Chisholm"
13701,Immortal Beloved,"Ludwig van Beethoven dies and his assistant/friend Schindler proceeds to deal with his affairs (last will and testament). There is a question as to who really is his ""immortal beloved,"" and so he tries to find out who this might be.::Keven Fedirko <keven.fedirko@corp.softimage.com>"
32631,The Hunted,An FBI deep-woods tracker attempts to capture a trained assassin who has made a sport of hunting humans.
47504,Little Odessa,Early 1990s drama about a family of Soviet Jews living in Brooklyn's Brighton Beach ocean-side neighborhood nicknamed Little Odessa.::nufs68
43742,Love Affair,"Thierry's wife Zandalee married the poet, he once was. Taking over his dad's company in New Orleans gives him stress and impotence. Thierry meets his high school buddy Johnny at a bachelor party. The painter Johnny can satisfy Zandalee.::Scott Filtenborg"
11318,The Madness of King George,"When King George III goes mad, his Lieutenants try to adjust the rules to run the country without his participation.::Will S"
40490,Man of the House,A Texas Ranger must protect a group of cheerleaders who have witnessed a murder.::Anonymous
38722,My Family,"Ben Harper (Robert Lindsay), a misanthropic dentist, has little time for most people, including his wife Susan (Zoë Wanamaker), and their children Nick (Kris Marshall), Janey (Daniela Denby-Ashe), and Michael (Gabriel Thomson).::Marco van Hoof <k_luifje7@hotmail.com>"
6950,Outbreak,Army doctors struggle to find a cure for a deadly virus spreading throughout a California town that was brought to America by an African monkey.::rdarnow
